"store_id","date","total_quantity","state_id","day_id","day_number","wm_yr_wk","weekday","wday","month","year","event_name_1","event_type_1","event_name_2","event_type_2","snap_CA","snap_TX","snap_WI"
"CA_1",2011-01-29,4337,"CA","d_1",1,11101,"Saturday",1,1,2011,NA,NA,NA,NA,0,0,0
"CA_1",2011-01-30,4155,"CA","d_2",2,11101,"Sunday",2,1,2011,NA,NA,NA,NA,0,0,0
"CA_1",2011-01-31,2816,"CA","d_3",3,11101,"Monday",3,1,2011,NA,NA,NA,NA,0,0,0
"CA_1",2011-02-01,3051,"CA","d_4",4,11101,"Tuesday",4,2,2011,NA,NA,NA,NA,1,1,0
"CA_1",2011-02-02,2630,"CA","d_5",5,11101,"Wednesday",5,2,2011,NA,NA,NA,NA,1,0,1
"CA_1",2011-02-03,3276,"CA","d_6",6,11101,"Thursday",6,2,2011,NA,NA,NA,NA,1,1,1
"CA_1",2011-02-04,3450,"CA","d_7",7,11101,"Friday",7,2,2011,NA,NA,NA,NA,1,0,0
"CA_1",2011-02-05,5437,"CA","d_8",8,11102,"Saturday",1,2,2011,NA,NA,NA,NA,1,1,1
"CA_1",2011-02-06,4340,"CA","d_9",9,11102,"Sunday",2,2,2011,"SuperBowl","Sporting",NA,NA,1,1,1
"CA_1",2011-02-07,3157,"CA","d_10",10,11102,"Monday",3,2,2011,NA,NA,NA,NA,1,1,0
"CA_1",2011-02-08,2995,"CA","d_11",11,11102,"Tuesday",4,2,2011,NA,NA,NA,NA,1,0,1
"CA_1",2011-02-09,2710,"CA","d_12",12,11102,"Wednesday",5,2,2011,NA,NA,NA,NA,1,1,1
"CA_1",2011-02-10,2928,"CA","d_13",13,11102,"Thursday",6,2,2011,NA,NA,NA,NA,1,0,0
"CA_1",2011-02-11,3078,"CA","d_14",14,11102,"Friday",7,2,2011,NA,NA,NA,NA,0,1,1
"CA_1",2011-02-12,4316,"CA","d_15",15,11103,"Saturday",1,2,2011,NA,NA,NA,NA,0,1,1
"CA_1",2011-02-13,4354,"CA","d_16",16,11103,"Sunday",2,2,2011,NA,NA,NA,NA,0,1,0
"CA_1",2011-02-14,2757,"CA","d_17",17,11103,"Monday",3,2,2011,"ValentinesDay","Cultural",NA,NA,0,0,1
"CA_1",2011-02-15,2430,"CA","d_18",18,11103,"Tuesday",4,2,2011,NA,NA,NA,NA,0,1,1
"CA_1",2011-02-16,2272,"CA","d_19",19,11103,"Wednesday",5,2,2011,NA,NA,NA,NA,0,0,0
"CA_1",2011-02-17,2009,"CA","d_20",20,11103,"Thursday",6,2,2011,NA,NA,NA,NA,0,0,0
"CA_1",2011-02-18,3015,"CA","d_21",21,11103,"Friday",7,2,2011,NA,NA,NA,NA,0,0,0
"CA_1",2011-02-19,4553,"CA","d_22",22,11104,"Saturday",1,2,2011,NA,NA,NA,NA,0,0,0
"CA_1",2011-02-20,3966,"CA","d_23",23,11104,"Sunday",2,2,2011,NA,NA,NA,NA,0,0,0
"CA_1",2011-02-21,3264,"CA","d_24",24,11104,"Monday",3,2,2011,"PresidentsDay","National",NA,NA,0,0,0
"CA_1",2011-02-22,2441,"CA","d_25",25,11104,"Tuesday",4,2,2011,NA,NA,NA,NA,0,0,0
"CA_1",2011-02-23,2377,"CA","d_26",26,11104,"Wednesday",5,2,2011,NA,NA,NA,NA,0,0,0
"CA_1",2011-02-24,2414,"CA","d_27",27,11104,"Thursday",6,2,2011,NA,NA,NA,NA,0,0,0
"CA_1",2011-02-25,2701,"CA","d_28",28,11104,"Friday",7,2,2011,NA,NA,NA,NA,0,0,0
"CA_1",2011-02-26,3719,"CA","d_29",29,11105,"Saturday",1,2,2011,NA,NA,NA,NA,0,0,0
"CA_1",2011-02-27,3548,"CA","d_30",30,11105,"Sunday",2,2,2011,NA,NA,NA,NA,0,0,0
"CA_1",2011-02-28,2246,"CA","d_31",31,11105,"Monday",3,2,2011,NA,NA,NA,NA,0,0,0
"CA_1",2011-03-01,2549,"CA","d_32",32,11105,"Tuesday",4,3,2011,NA,NA,NA,NA,1,1,0
"CA_1",2011-03-02,2559,"CA","d_33",33,11105,"Wednesday",5,3,2011,NA,NA,NA,NA,1,0,1
"CA_1",2011-03-03,2568,"CA","d_34",34,11105,"Thursday",6,3,2011,NA,NA,NA,NA,1,1,1
"CA_1",2011-03-04,2978,"CA","d_35",35,11105,"Friday",7,3,2011,NA,NA,NA,NA,1,0,0
"CA_1",2011-03-05,4096,"CA","d_36",36,11106,"Saturday",1,3,2011,NA,NA,NA,NA,1,1,1
"CA_1",2011-03-06,4832,"CA","d_37",37,11106,"Sunday",2,3,2011,NA,NA,NA,NA,1,1,1
"CA_1",2011-03-07,3138,"CA","d_38",38,11106,"Monday",3,3,2011,NA,NA,NA,NA,1,1,0
"CA_1",2011-03-08,2997,"CA","d_39",39,11106,"Tuesday",4,3,2011,NA,NA,NA,NA,1,0,1
"CA_1",2011-03-09,2772,"CA","d_40",40,11106,"Wednesday",5,3,2011,"LentStart","Religious",NA,NA,1,1,1
"CA_1",2011-03-10,2650,"CA","d_41",41,11106,"Thursday",6,3,2011,NA,NA,NA,NA,1,0,0
"CA_1",2011-03-11,3249,"CA","d_42",42,11106,"Friday",7,3,2011,NA,NA,NA,NA,0,1,1
"CA_1",2011-03-12,4114,"CA","d_43",43,11107,"Saturday",1,3,2011,NA,NA,NA,NA,0,1,1
"CA_1",2011-03-13,4094,"CA","d_44",44,11107,"Sunday",2,3,2011,NA,NA,NA,NA,0,1,0
"CA_1",2011-03-14,2880,"CA","d_45",45,11107,"Monday",3,3,2011,NA,NA,NA,NA,0,0,1
"CA_1",2011-03-15,2384,"CA","d_46",46,11107,"Tuesday",4,3,2011,NA,NA,NA,NA,0,1,1
"CA_1",2011-03-16,2522,"CA","d_47",47,11107,"Wednesday",5,3,2011,"LentWeek2","Religious",NA,NA,0,0,0
"CA_1",2011-03-17,2435,"CA","d_48",48,11107,"Thursday",6,3,2011,"StPatricksDay","Cultural",NA,NA,0,0,0
"CA_1",2011-03-18,2744,"CA","d_49",49,11107,"Friday",7,3,2011,NA,NA,NA,NA,0,0,0
"CA_1",2011-03-19,4142,"CA","d_50",50,11108,"Saturday",1,3,2011,NA,NA,NA,NA,0,0,0
"CA_1",2011-03-20,3904,"CA","d_51",51,11108,"Sunday",2,3,2011,"Purim End","Religious",NA,NA,0,0,0
"CA_1",2011-03-21,2635,"CA","d_52",52,11108,"Monday",3,3,2011,NA,NA,NA,NA,0,0,0
"CA_1",2011-03-22,2458,"CA","d_53",53,11108,"Tuesday",4,3,2011,NA,NA,NA,NA,0,0,0
"CA_1",2011-03-23,2079,"CA","d_54",54,11108,"Wednesday",5,3,2011,NA,NA,NA,NA,0,0,0
"CA_1",2011-03-24,2281,"CA","d_55",55,11108,"Thursday",6,3,2011,NA,NA,NA,NA,0,0,0
"CA_1",2011-03-25,2740,"CA","d_56",56,11108,"Friday",7,3,2011,NA,NA,NA,NA,0,0,0
"CA_1",2011-03-26,3899,"CA","d_57",57,11109,"Saturday",1,3,2011,NA,NA,NA,NA,0,0,0
"CA_1",2011-03-27,3999,"CA","d_58",58,11109,"Sunday",2,3,2011,NA,NA,NA,NA,0,0,0
"CA_1",2011-03-28,2780,"CA","d_59",59,11109,"Monday",3,3,2011,NA,NA,NA,NA,0,0,0
"CA_1",2011-03-29,2167,"CA","d_60",60,11109,"Tuesday",4,3,2011,NA,NA,NA,NA,0,0,0
